taskName	junk	item	start_fr	start_s	end_fr	end_s	stratum	judgement
vbs22-avs-01	0	00009	2491	103.833	3222	134.25	1	-1
vbs22-avs-01	0	00136	10325	413.0	10682	427.28	1	1
vbs22-avs-01	0	00009	144	6.041	871	36.333	1	1
vbs22-avs-01	0	00148	13152	548.548	13245	552.468	1	1
vbs22-avs-01	0	00337	13337	533.48	13687	547.48	1	0
vbs22-avs-01	0	02467	6117	255.171	6291	262.428	1	0
vbs22-avs-01	0	09994	4211	140.54	4231	141.207	1	1
vbs22-avs-01	0	00350	4378	146.112	5098	170.136	1	0
vbs22-avs-01	0	02467	7076	295.169	7132	297.505	1	0
vbs22-avs-01	0	02798	3322	132.88	3418	136.72	1	1
vbs22-avs-01	0	00009	144	6.041	871	36.333	1	1
vbs22-avs-01	0	11150	490	20.478	680	28.403	1	1
vbs22-avs-01	0	14350	7379	295.16	7389	295.56	1	1
vbs22-avs-01	0	00009	873	36.375	1606	66.958	1	1
vbs22-avs-01	0	00361	3322	132.88	3397	135.88	1	1
vbs22-avs-01	0	12050	14326	573.04	14638	585.52	1	1
vbs22-avs-01	0	14777	9720	324.0	10446	348.2	1	1
vbs22-avs-01	0	00298	657	21.955	670	22.389	1	1
vbs22-avs-01	0	02467	8393	350.099	8404	350.558	1	1
vbs22-avs-01	0	02467	8443	352.185	8454	352.643	1	1
vbs22-avs-01	0	00452	4295	171.8	4598	183.92	1	0
vbs22-avs-01	0	00009	873	36.375	1606	66.958	1	1
vbs22-avs-01	0	09994	4232	141.241	4235	141.341	1	1
vbs22-avs-01	0	07134	25946	865.764	26668	889.855	1	1
vbs22-avs-01	0	06572	4992	208.249	5086	212.17	1	1
vbs22-avs-01	0	13942	12153	506.923	12884	537.411	1	1
vbs22-avs-01	0	11814	25243	1009.72	25927	1037.08	1	1
vbs22-avs-01	0	14777	7101	236.733	7833	261.1	1	1
vbs22-avs-01	0	02823	536	17.917	969	32.365	1	0
vbs22-avs-01	0	14887	15411	514.247	16142	538.638	1	1
vbs22-avs-01	0	03966	2162	90.215	2169	90.507	1	1
vbs22-avs-01	0	03310	736	24.591	1463	48.848	1	0
vbs22-avs-01	0	01008	10154	338.838	10173	339.472	1	1
vbs22-avs-01	0	08792	5601	186.92	6328	211.177	1	0
vbs22-avs-01	0	08792	1056	35.268	1788	59.692	1	0
vbs22-avs-01	0	00452	6859	274.4	7302	292.08	1	0
vbs22-avs-01	0	15319	537	22.375	567	23.625	1	1
vbs22-avs-01	0	00182	2631	109.666	2668	111.208	1	1
vbs22-avs-01	0	07679	1228	41.007	1257	41.975	1	1
vbs22-avs-01	0	00956	1558	62.32	1764	70.6	1	1
vbs22-avs-01	0	03840	5730	238.791	6081	253.416	1	0
vbs22-avs-01	0	00956	3089	123.56	3821	152.84	1	1
vbs22-avs-01	0	00956	297	11.88	434	17.4	1	1
vbs22-avs-01	0	04740	10814	451.075	10896	454.454	1	0
vbs22-avs-01	0	00956	2097	83.88	2500	100.0	1	1
vbs22-avs-01	0	01808	5856	195.428	6116	204.103	1	0
